UniqueCount	AmbigCount
7	0
80	0
28	0
19	0
20	0
6	0
36	0
13	2
39	0
6	0
9	0
6	0
30	0
200	0
26	0
191	0
10	0
6	0
15	0
40	0
18	0
93	0
18	0
8	0
26	0
161	0
145	0
14	0
6	0
7	0
19	0
8	0
259	0
8	0
4	0
85	0
8	0
101	0
8	0
8	0
9	0
43	0
61	0
11	0
90	0
21	0
14	0
6	0
12	0
51	0
11	0
10	0
34	0
6	0
12	0
18	0
19	0
260	0
45	0
57	0
40	0
7	0
5	0
32	0
74	0
44	0
5	0
26	0
12	0
12	0
56	0
9	0
12	0
5	0
7	0
5	0
5	0
39	0
13	0
75	0
19	17
8	0
26	0
4	0
191	0
38	0
18	0
90	0
4	0
30	0
5	0
14	0
10	0
18	0
4	0
16	2
13	0
15	0
12	1
5	0
26	0
5	0
6	0
52	0
6	0
32	0
5	0
8	0
4	0
29	0
64	0
5	0
10	0
29	0
8	0
18	0
7	0
6	0
7	0
14	0
8	0
5	0
9	0
4	0
6	0
19	0
6	0
33	0
5	0
7	0
7	0
14	0
10	17
2	17
5	0
14	0
19	0
8	0
5	0
5	0
15	0
25	0
18	0
6	0
4	0
5	0
10	0
5	0
9	0
13	0
8	0
56	0
12	0
23	0
4	0
5	0
22	0
10	0
10	0
9	0
18	0
27	0
6	0
5	0
67	0
9	0
7	0
7	0
54	0
4	0
12	0
5	0
18	0
25	0
5	0
5	0
6	0
6	0
34	0
6	0
22	0
4	0
16	0
12	0
6	0
6	0
20	0
6	0
18	0
57	0
4	0
49	0
11	0
23	0
12	0
6	0
19	0
10	0
24	0
31	0
5	0
41	0
5	0
29	0
38	0
11	0
15	0
8	0
17	0
14	0
7	0
58	0
79	0
27	0
18	0
15	0
15	0
9	0
17	0
20	0
14	0
8	0
7	0
7	0
10	0
18	0
5	0
6	0
70	0
12	0
6	0
14	0
7	0
19	0
12	0
33	0
13	0
6	0
5	0
7	0
7	6
3	6
6	0
55	0
14	0
10	0
6	0
37	0
98	4
9	0
4	0
13	0
14	0
9	0
6	0
17	0
9	0
40	0
17	0
18	0
13	0
43	0
73	0
236	0
30	0
92	0
8	12
305	12
49	0
18	0
293	0
101	0
13	0
7	0
21	0
1169	0
48	0
34	0
30	0
769	0
32	0
58	0
7	0
26	0
10	0
40	0
41	0
8	0
17	0
47	0
7	0
7	0
58	0
24	0
26	0
46	0
64	0
52	0
6	0
6	0
6	0
12	0
6	0
10	0
18	0
65	0
45	0
10	0
